customer_id,plan_id,plan_name,payment_date,amount,payment_order
1,1,"basic monthly",2020-08-08,9.90,1
1,1,"basic monthly",2020-09-08,9.90,2
1,1,"basic monthly",2020-10-08,9.90,3
1,1,"basic monthly",2020-11-08,9.90,4
1,1,"basic monthly",2020-12-08,9.90,5
2,3,"pro annual",2020-09-27,199.00,1
3,1,"basic monthly",2020-01-20,9.90,1
3,1,"basic monthly",2020-02-20,9.90,2
3,1,"basic monthly",2020-03-20,9.90,3
3,1,"basic monthly",2020-04-20,9.90,4
3,1,"basic monthly",2020-05-20,9.90,5
3,1,"basic monthly",2020-06-20,9.90,6
3,1,"basic monthly",2020-07-20,9.90,7
3,1,"basic monthly",2020-08-20,9.90,8
3,1,"basic monthly",2020-09-20,9.90,9
3,1,"basic monthly",2020-10-20,9.90,10
3,1,"basic monthly",2020-11-20,9.90,11
3,1,"basic monthly",2020-12-20,9.90,12
4,1,"basic monthly",2020-01-24,9.90,1
4,1,"basic monthly",2020-02-24,9.90,2
4,1,"basic monthly",2020-03-24,9.90,3
4,1,"basic monthly",2020-04-24,9.90,4
4,1,"basic monthly",2020-05-24,9.90,5
4,1,"basic monthly",2020-06-24,9.90,6
4,1,"basic monthly",2020-07-24,9.90,7
4,1,"basic monthly",2020-08-24,9.90,8
4,1,"basic monthly",2020-09-24,9.90,9
4,1,"basic monthly",2020-10-24,9.90,10
4,1,"basic monthly",2020-11-24,9.90,11
4,1,"basic monthly",2020-12-24,9.90,12
5,1,"basic monthly",2020-08-10,9.90,1
5,1,"basic monthly",2020-09-10,9.90,2
5,1,"basic monthly",2020-10-10,9.90,3
5,1,"basic monthly",2020-11-10,9.90,4
5,1,"basic monthly",2020-12-10,9.90,5
6,1,"basic monthly",2020-12-30,9.90,1
7,1,"basic monthly",2020-02-12,9.90,1
7,1,"basic monthly",2020-03-12,9.90,2
7,1,"basic monthly",2020-04-12,9.90,3
7,1,"basic monthly",2020-05-12,9.90,4
7,2,"pro monthly",2020-05-22,10.00,5
7,2,"pro monthly",2020-06-22,19.90,6
7,2,"pro monthly",2020-07-22,19.90,7
7,2,"pro monthly",2020-08-22,19.90,8
7,2,"pro monthly",2020-09-22,19.90,9
7,2,"pro monthly",2020-10-22,19.90,10
7,2,"pro monthly",2020-11-22,19.90,11
7,2,"pro monthly",2020-12-22,19.90,12
8,1,"basic monthly",2020-06-18,9.90,1
8,1,"basic monthly",2020-07-18,9.90,2
8,2,"pro monthly",2020-08-03,10.00,3
8,2,"pro monthly",2020-09-03,19.90,4
8,2,"pro monthly",2020-10-03,19.90,5
8,2,"pro monthly",2020-11-03,19.90,6
8,2,"pro monthly",2020-12-03,19.90,7
9,3,"pro annual",2020-12-14,199.00,1
10,2,"pro monthly",2020-09-26,19.90,1
10,2,"pro monthly",2020-10-26,19.90,2
10,2,"pro monthly",2020-11-26,19.90,3
10,2,"pro monthly",2020-12-26,19.90,4
12,1,"basic monthly",2020-09-29,9.90,1
12,1,"basic monthly",2020-10-29,9.90,2
12,1,"basic monthly",2020-11-29,9.90,3
12,1,"basic monthly",2020-12-29,9.90,4
13,1,"basic monthly",2020-12-22,9.90,1
14,1,"basic monthly",2020-09-29,9.90,1
14,1,"basic monthly",2020-10-29,9.90,2
14,1,"basic monthly",2020-11-29,9.90,3
14,1,"basic monthly",2020-12-29,9.90,4
15,2,"pro monthly",2020-03-24,19.90,1
15,2,"pro monthly",2020-04-24,19.90,2
15,2,"pro monthly",2020-05-24,19.90,3
15,2,"pro monthly",2020-06-24,19.90,4
15,2,"pro monthly",2020-07-24,19.90,5
15,2,"pro monthly",2020-08-24,19.90,6
15,2,"pro monthly",2020-09-24,19.90,7
15,2,"pro monthly",2020-10-24,19.90,8
15,2,"pro monthly",2020-11-24,19.90,9
15,2,"pro monthly",2020-12-24,19.90,10
16,1,"basic monthly",2020-06-07,9.90,1
16,1,"basic monthly",2020-07-07,9.90,2
16,1,"basic monthly",2020-08-07,9.90,3
16,1,"basic monthly",2020-09-07,9.90,4
16,1,"basic monthly",2020-10-07,9.90,5
16,3,"pro annual",2020-10-21,189.10,6
17,1,"basic monthly",2020-08-03,9.90,1
17,1,"basic monthly",2020-09-03,9.90,2
17,1,"basic monthly",2020-10-03,9.90,3
17,1,"basic monthly",2020-11-03,9.90,4
17,1,"basic monthly",2020-12-03,9.90,5
17,3,"pro annual",2020-12-11,189.10,6
18,2,"pro monthly",2020-07-13,19.90,1
18,2,"pro monthly",2020-08-13,19.90,2
18,2,"pro monthly",2020-09-13,19.90,3
18,2,"pro monthly",2020-10-13,19.90,4
18,2,"pro monthly",2020-11-13,19.90,5
18,2,"pro monthly",2020-12-13,19.90,6
19,2,"pro monthly",2020-06-29,19.90,1
19,2,"pro monthly",2020-07-29,19.90,2
19,3,"pro annual",2020-08-29,199.00,3
20,1,"basic monthly",2020-04-15,9.90,1
20,1,"basic monthly",2020-05-15,9.90,2
20,3,"pro annual",2020-06-05,189.10,3
21,1,"basic monthly",2020-02-11,9.90,1
21,1,"basic monthly",2020-03-11,9.90,2
21,1,"basic monthly",2020-04-11,9.90,3
21,1,"basic monthly",2020-05-11,9.90,4
21,2,"pro monthly",2020-06-03,10.00,5
21,2,"pro monthly",2020-07-03,19.90,6
21,2,"pro monthly",2020-08-03,19.90,7
21,2,"pro monthly",2020-09-03,19.90,8
21,2,"pro monthly",2020-10-03,19.90,9
21,2,"pro monthly",2020-11-03,19.90,10
21,2,"pro monthly",2020-12-03,19.90,11
22,2,"pro monthly",2020-01-17,19.90,1
22,2,"pro monthly",2020-02-17,19.90,2
22,2,"pro monthly",2020-03-17,19.90,3
22,2,"pro monthly",2020-04-17,19.90,4
22,2,"pro monthly",2020-05-17,19.90,5
22,2,"pro monthly",2020-06-17,19.90,6
22,2,"pro monthly",2020-07-17,19.90,7
22,2,"pro monthly",2020-08-17,19.90,8
22,2,"pro monthly",2020-09-17,19.90,9
22,2,"pro monthly",2020-10-17,19.90,10
22,2,"pro monthly",2020-11-17,19.90,11
22,2,"pro monthly",2020-12-17,19.90,12
23,3,"pro annual",2020-05-20,199.00,1
24,2,"pro monthly",2020-11-17,19.90,1
24,2,"pro monthly",2020-12-17,19.90,2
25,1,"basic monthly",2020-05-17,9.90,1
25,2,"pro monthly",2020-06-16,10.00,2
25,2,"pro monthly",2020-07-16,19.90,3
25,2,"pro monthly",2020-08-16,19.90,4
25,2,"pro monthly",2020-09-16,19.90,5
25,2,"pro monthly",2020-10-16,19.90,6
25,2,"pro monthly",2020-11-16,19.90,7
25,2,"pro monthly",2020-12-16,19.90,8
26,2,"pro monthly",2020-12-15,19.90,1
27,2,"pro monthly",2020-08-31,19.90,1
27,2,"pro monthly",2020-09-30,19.90,2
27,2,"pro monthly",2020-10-30,19.90,3
27,2,"pro monthly",2020-11-30,19.90,4
27,2,"pro monthly",2020-12-30,19.90,5
28,3,"pro annual",2020-07-07,199.00,1
29,2,"pro monthly",2020-01-30,19.90,1
29,2,"pro monthly",2020-02-29,19.90,2
29,2,"pro monthly",2020-03-29,19.90,3
